PartitionKey,RowKey,Timestamp,Name,Score,Total
Albania,Albania,2016-06-28T21:24:38.248Z,Albania,0,0 
Algeria,Algeria,2016-06-28T21:24:38.245Z,Algeria,0,0 
American Samoa,American Samoa,2016-06-28T21:24:38.249Z,American Samoa,0,0 
Andorra,Andorra,2016-06-28T21:24:38.272Z,Andorra,0,0 
Angola,Angola,2016-06-28T21:24:38.275Z,Angola,0,0 
Antigua and Barbuda,Antigua and Barbuda,2016-06-28T21:24:38.272Z,Antigua and Barbuda,0,0 
Argentina,Argentina,2016-06-29T21:06:17.313Z,Argentina,40.6,3
Armenia,Armenia,2016-06-28T21:24:38.276Z,Armenia,0,0 
Aruba,Aruba,2016-06-28T21:24:38.274Z,Aruba,0,0 
Australia,Australia,2016-06-29T21:02:31.870Z,Australia,64.6,3
Austria,Austria,2016-06-28T21:24:38.276Z,Austria,0,0 
Azerbaijan,Azerbaijan,2016-06-28T21:24:38.305Z,Azerbaijan,0,0 
Bahamas,Bahamas,2016-06-28T21:24:38.310Z,Bahamas,0,0 
Bahrain,Bahrain,2016-06-28T21:24:38.309Z,Bahrain,0,0 
Bangladesh,Bangladesh,2016-06-28T21:24:38.330Z,Bangladesh,0,0 
Barbados,Barbados,2016-06-28T21:24:38.317Z,Barbados,0,0 
Belarus,Belarus,2016-06-28T21:24:38.317Z,Belarus,0,0 
Belgium,Belgium,2016-06-28T21:24:38.309Z,Belgium,0,0 
Benin,Benin,2016-06-28T21:24:38.372Z,Benin,0,0 
Bermuda,Bermuda,2016-06-28T21:24:38.314Z,Bermuda,0,0 
Bhutan,Bhutan,2016-06-28T21:24:38.327Z,Bhutan,0,0 
Bolivia,Bolivia,2016-06-28T21:24:38.330Z,Bolivia,0,0 
Bosnia and Herzegovina,Bosnia and Herzegovina,2016-06-28T21:24:38.370Z,Bosnia and Herzegovina,0,0 
Botswana,Botswana,2016-06-28T21:24:38.370Z,Botswana,0,0 
Brazil,Brazil,2016-06-29T01:22:40.719Z,Brazil,70.1,24
British Virgin Islands,British Virgin Islands,2016-06-28T21:24:38.379Z,British Virgin Islands,0,0 
Brunei,Brunei,2016-06-28T21:24:38.404Z,Brunei,0,0 
Bulgaria,Bulgaria,2016-06-28T21:24:38.400Z,Bulgaria,0,0 
Burkina Faso,Burkina Faso,2016-06-28T21:24:38.405Z,Burkina Faso,0,0 
Burundi,Burundi,2016-06-28T21:24:38.419Z,Burundi,0,0 
Cambodia,Cambodia,2016-06-28T21:24:38.426Z,Cambodia,0,0 
Cameroon,Cameroon,2016-06-28T21:24:38.445Z,Cameroon,0,0 
Canada,Canada,2016-06-28T21:24:38.437Z,Canada,0,0 
Cape Verde,Cape Verde,2016-06-28T21:24:38.436Z,Cape Verde,0,0 
Cayman Islands,Cayman Islands,2016-06-28T21:24:38.452Z,Cayman Islands,0,0 
Central African Republic,Central African Republic,2016-06-28T21:24:38.455Z,Central African Republic,0,0 
Chile,Chile,2016-06-29T00:37:32.687Z,Chile,60.7,1
China,China,2016-06-28T21:24:38.450Z,China,0,0 
Chinese Taipei,Chinese Taipei,2016-06-28T21:24:38.438Z,Chinese Taipei,0,0 
